scientific_name,observed_on,latitude,longitude,source,latitude-old,longitude-old,locality,institutionCode,x,establishment_means
Heterotheca sessiliflora,1/1/2019,37.6901002,-119.7532219,voucher,NA,NA,N.rim Merced Canyon at Foresta,UCJEPS,added,native
Hieracium murorum,1/1/2020,37.74821,-119.58144,voucher,37.74821,-119.58144,"Yosemite National Park, Yosemite Valley, Yosemite Village, far eastern margin Ahwahnee Meadow, in the untended shaded margin of cottages (Tecoya housing area) fronting the meadow (the dwellings with the billion dollar view of Half Dome)",UCJEPS,correct,introduced
Holocarpha virgata,1/1/2020,37.721,-119.697,voucher,37.721,-119.697,"YOSEMITE VALLEY, HIGHWAY 140 CA. 0.2 MILE DOWNCANYON (WEST) OF THE HIGHWAY 120 JUNCTION; EL CAPITAN 7 1/2' USGS QUADRANGLE",YM,correct,native
Hordeum marinum,1/1/2020,37.53917,-119.6569,voucher,37.53917,-119.6569,"Wawona, Yosemite National Park, margin of Sandyy flat on N side of South Fork Merced River near Highway 140 bridge",UCJEPS,correct,introduced
Hordeum murinum,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; ADJACENT TO BATHROOM; SANDY SOIL (SAND FROM 1997 FLOOD).",YM,correct,introduced
Humulus lupulus,1/1/2020,37.8115839,-119.8587767,voucher,37.81199,-119.85882,"Yosemite National Park; Carlon [site], South Fork Tuolumne River just upstream from present day Carlon USGS picnic area; Ackerson Mountain, CA 7.5' USGS quadrangle.",UCJEPS,moved,introduced
Hypericum calycinum,1/1/2020,37.9747,-119.87668,voucher,37.9747,-119.87668,"Lake Eleanor Ranger Station, Yosemite National Park; Lake Eleanor 7.5' USGS quadrangle",UCJEPS,correct,introduced
Hypochaeris radicata,1/1/2019,37.719232,-119.626742,voucher,37.719232,-119.626742,"SOUTHSIDE DRIVE, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; BETWEEN EL CAPITAN BRIDGE AND SENTINEL BRIDGE; SANDY SOIL; IMMEDIATELY ADJACENT TO ROAD.",YM,fairly correct,introduced
Juglans hindsii,1/1/2020,37.74376,-119.58384,voucher,37.74376,-119.58384,"Yosemite National Park: Yosemite Valley, Yosemite Village, growing on the edge of a large parking area south of Northside Drive and lying between Tecoya Road and Village Drive, on the north bank of the Merced River.",UCJEPS,correct,introduced
Lamium amplexicaule,4/16/2021,37.7031772,-119.7526887,iNat,NA,NA,NA,NA,NA,native
Lathyrus latifolius,1/1/2019,37.747877,-119.587685,voucher,37.747877,-119.587685,"YOSEMITE VILLAGE, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. INTERSECTION OF THROUGH ROAD AND DRIVE TO PRIVATE RESIDENCE BEHIND CONCESSION RESTAURANTS; SANDY SOIL UNDER QUERCUS KELLOGGII.",YM,correct,native
Layia pentachaeta,1/1/2020,37.9025832,-119.8394709,voucher,NA,NA,About 0.75 mile North of Mather Ranger Station on Hetch Hetchy road near bench mark 5027. Datum: NAD83.,YM,added,native
Lepidium ramosissimum,1/1/2019,37.7454712,-119.5817228,voucher,37.743056,-119.58,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on SE edge of Yosemite Village area",UCJEPS,moved,introduced
Leptosiphon nuttallii,7/18/2020,38.06906411,-119.3737086,iNat,NA,NA,NA,NA,NA,native
Lolium arundinaceum,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; NEAR BATHROOM; SANDY SOIL (SAND FROM 1997 FLOOD).",YM,correct,introduced
Lolium multiflorum,1/1/2019,37.7454464,-119.5817575,voucher,37.734165,-119.56778,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on SE edge of Yosemite Village area",UCJEPS,moved,introduced
Lotus corniculatus,6/9/2021,37.770275,-119.8064583,iNat,NA,NA,NA,NA,NA,introduced
Ludwigia palustris,1/1/2020,37.9209018,-119.8196554,voucher,NA,NA,"Lake on North side of Tuolumne River, Poopenaut Valley. Datum: NAD83.",YM,added,native
Lysimachia arvensis,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; NEAR BATHROOM; MOIST, SANDY SOIL (SAND FROM 1997 FLOOD).",YM,correct,introduced
Lythrum hyssopifolia,1/1/2020,37.920723,-119.61906,voucher,37.920723,-119.61906,"Small lake West of Pate Valley, 0.6 km Northest of Morrison Creek-Tuolumne River confluence.",UCJEPS,correct,native
Lythrum portula,1/1/2020,37.97966,-119.88049,voucher,37.97966,-119.88049,"Yosemite National Park, lake Eleanor; western shore of the reservoir near the tunnel entrance; Cherry Lake South 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Malacothrix clevelandii,1/1/2020,37.7264208,-119.6116053,voucher,37.74292,-119.61915,"Yosemite National Park, Yosemite Valley, about0.5 mile upstream from the Cathedral Beach Picnic Area, on the south bank of the Merced River; El Capitan, CA 7.5' USGS quadrangle.",UCJEPS,moved,native
Malva parviflora,1/1/2020,37.74883,-119.59124,voucher,37.74883,-119.59124,"Yosemite National Park, Yosemite Valley, Yosemite Village, lawn of the elementary school; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Marah horrida,6/5/2015,37.81858267,-119.7626405,iNat,NA,NA,NA,NA,NA,native
Melica torreyana,1/1/2020,37.67895,-119.75888,voucher,37.67895,-119.75888,"western border Yosemite National Park, along the Merced River Canyon on the terrace of the river adjacent to Highway 140, just ca. 10 meters inside the park boundary",DWT,correct,native
Melissa officinalis,1/1/2020,37.73427,-119.56449,voucher,37.73427,-119.56449,"Yosemite National Park, Yosemite Valley, along the trail from unpaved parking lot just E or Curry Village to Harry Isles",DWT,correct,introduced
Micropus californicus,1/1/2020,37.944243,-119.791927,voucher,NA,NA,"Less than 1/4 mile below O'Shaughnessy Dam on the South side of the Tuolumne River, Poopenaut Valley. Datum: NAD83.",YM,added,native
Muhlenbergia asperifolia,1/1/2020,37.940913,-119.582917,voucher,37.940913,-119.582917,"PIUTE CREEK, YOSEMITE NATIONAL PARK",YM,correct,native
Myosotis discolor,1/1/2020,37.53917,-119.6569,voucher,37.53917,-119.6569,"Wawona, Yosemite National Park, margin of Sandyy flat on N side of South Fork Merced River near Highway 140 bridge",UCJEPS,correct,introduced
Myosotis stricta,1/1/2020,37.7413,-119.56377,voucher,37.7413,-119.56377,"Yosemite National Park: Yosemite Valley, vicinity of the concessionaire stables [situate at eastern end of North Pines Campground]; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Myriophyllum sibiricum,1/1/2020,37.87223,-119.36957,voucher,37.87223,-119.36957,"Yosemite national park, Tuolumne meadows, small pond just N of the Tioga Road near the junction of the trail (old road) that serves Parsons Lodge; Vogelsang Peak 7.5' USGS quadrangle.",UCJEPS,correct,native
Navarretia linearifolia,1/1/2020,37.57342,-119.56535,voucher,37.57342,-119.56535,"Yosemite National Park, trail from Turner Meadow to Crescent lake just E of the Madera County line; Mariposa Grove, CA 7.5' USGS quadrangle.",UCJEPS,correct,native
Nemophila pedunculata,1/1/2020,37.9382731,-119.7976138,voucher,NA,NA,"About 1.5 miles below O'Shaughnessy Dam on the North side of the Tuolumne River, Poopenaut Valley. Datum: NAD83.",YM,added,native
Nepeta cataria,1/1/2020,37.53603,-119.65705,voucher,37.53603,-119.65705,"YOSEMITE NATIONAL PARK: Wawona, along the eastern fairway margin of Fairway #9, Wawona Golf Course, growing in the unmowed rough bordering the creek",DWT,correct,introduced
Oxalis albicans,1/1/2020,37.97515,-119.87666,voucher,37.97515,-119.87666,"Lake Eleanor; Yosemite National Park, at the Lake Eleanor Ranger Station",YM,correct,native
Oxalis corniculata,1/1/2019,37.7459368,-119.5754205,voucher,37.744388,-119.573764,"THE AHWAHNEE (HOTEL), YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. 50M W OF THE HOTEL IN THE FORMER GOLF COURSE; GROWING WITH AGROSTIS GIGANTEA.",YM,moved,introduced
Oxalis dillenii,1/1/2020,37.74335,-119.58554,voucher,37.74335,-119.58554,"Yosemite National Park: Yosemite Valley, Yosemite Village, growing on the edge of a small meadow opening along the Merced River ca. 400 meters upstream from Sentinel Bridge.; Half Dome",RSA,correct,introduced
Packera pseudaurea,1/1/2020,38.002713,-119.32048,voucher,38.002713,-119.32048,"Mariposa County, California. North of Lake McCabe on west-facing slope. Headwaters of McCabe Creek.",UCJEPS,correct,native
Parapholis incurva,1/1/2019,37.943696,-119.780129,voucher,37.943696,-119.780129,"HETCH HETCHY RESERVOIR CORRAL, YOSEMITE NATIONAL PARK, CALIFORNIA. PENNED OFF AREA ABOVE CORRAL JUST EAST OF DIRT ROAD TOWARDS END OF ROAD. GROWING IN DRY, SANDY, EXPOSED SOIL.",YM,correct,introduced
Parthenocissus inserta,1/1/2019,37.7454551,-119.5817134,voucher,37.734165,-119.56778,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on SE edge of Yosemite Village area",UCJEPS,moved,introduced
Parthenocissus quinquefolia,8/11/2022,37.75016333,-119.5914617,iNat,NA,NA,NA,NA,NA,introduced
Pectocarya pusilla,1/1/2020,37.713985,-119.67806,voucher,37.713985,-119.67806,Yosemite National Park; Just above and to the west of the parking lot at discovery view,UCJEPS,correct,native
Persicaria hydropiper,1/1/2019,37.7454551,-119.5817354,voucher,37.734165,-119.56778,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on SE edge of Yosemite Village area",UCJEPS,moved,introduced
Persicaria lapathifolia,1/1/2019,37.7440462,-119.581482,voucher,37.734165,-119.56778,"Yosemite Valley, Yosemite National park, ponds adjacent to Merced River on S end Ahwahnee Meadow",UCJEPS,moved,native
Petrorhagia dubia,1/1/2020,37.67913,-119.75975,voucher,37.67913,-119.75975,"Western border of Yosemite National Park, along the Merced River Canyon on the terrace of the ridge adjacent to Hwy 140, ca 10 m inside the park boundary",UCJEPS,correct,introduced
Phoenicaulis cheiranthoides,1/1/2020,38.063282,-119.332886,voucher,38.063282,-119.332886,Yosemite National Park; Virginia Pass,UCJEPS,correct,native
Pinus attenuata,1/1/2020,37.70461,-119.73439,voucher,37.70461,-119.73439,"Yosemite National Park: vicinity Foresta, along Foresta Road 0.7 road miles southwest of the junction with Highway 120",YM,correct,native
Plagiobothrys myosotoides,1/1/2020,37.713985,-119.678065,voucher,37.713985,-119.678065,"UPHILL AND TO THE WEST OF DISCOVERY VIEW PARKING LOT, YOSEMITE NATIONAL PARK.",YM,correct,native
Platanthera leptopetala,6/13/2013,37.92518027,-119.4762651,iNat,NA,NA,NA,NA,NA,native
Poa fendleriana,1/1/2020,37.93252,-119.29274,voucher,37.93252,-119.29274,"Yosemite National Park; Tioga Pass region, Gaylor Lakes vicinity, unglaciated surface lying just northwest of region of Granite Lakes, Tioga Pass, CA 7.5' USGS quadrangle.",UCJEPS,correct,native
Poa palustris,1/1/2020,37.53437,-119.6582,voucher,37.53437,-119.6582,"Yosemite National Park: Wawona, along the golf course, along the western margin of the 8th fairway; Wawona, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Polycarpon tetraphyllum,1/1/2019,37.7454814,-119.5817575,voucher,37.734165,-119.56778,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on SE edge of Yosemite Village area",UCJEPS,moved,introduced
