scientific_name,institutionCode,eventDate,year,locality,keep_omit,recordNumber,decimalLatitude,decimalLongitude,recordedBy_simple,recordedBy,current_name
Viola nuttallii,,7/3/1996,1996,"Yosemite N.P., Bridalveil Creek campsite.",keep,"Wieringa, JJ; Janzen, MID  3356",37.663333,-119.616667,"Wieringa, J. J.",Wieringa JJ; Janzen MID,NA
Ceanothus integerrimus,,6/30/1996,1996,"Yosemite N.P., near Merced grove.",keep,"Wieringa, JJ; Janzen, MID  3352",37.745,-119.85,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Ceanothus integerrimus
Polemonium viscosum,BDI,1889-07-17,1889,Mt. Dana (summit),keep,,37.899784,-119.221262,"Chesnut, Victor K.; ; Drew, Elmer R.",Chesnut; Drew,NA
Penstemon fruticosus,BDI,1889-07,1889,Mt. Dana,keep,,37.899784,-119.221262,"Chesnut, Victor K.; ; Drew, Elmer R.",Chesnut; Drew,NA
Penstemon confertus,BDI,1889-06-27,1889,Lake Eleanor,keep,,37.98618,-119.858305,"Chesnut, Victor K.; ; Drew, Elmer R.",Chesnut; Drew,Penstemon confertus
Dodecatheon jeffreyanum,,7/3/1996,1996,"Yosemite N.P., Bridalveil Creek campsite.",keep,"Wieringa, JJ; Janzen, MID  3357",37.663333,-119.616667,"Wieringa, J. J.",Wieringa JJ; Janzen MID,NA
Sisyrinchium elmeri,,7/4/1996,1996,"Yosemite N.P., Summit Meadow.",keep,"Wieringa, JJ; Janzen, MID  3359",37.666667,-119.65,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Sisyrinchium elmeri
Dodecatheon jeffreyanum,,7/3/1996,1996,"Yosemite N.P., Bridalveil Creek campsite.",keep,"Wieringa, JJ; Janzen, MID  3357",37.663333,-119.616667,"Wieringa, J. J.",Wieringa JJ; Janzen MID,NA
Ceanothus integerrimus,,6/30/1996,1996,"Yosemite N.P., near Merced grove.",keep,"Wieringa, JJ; Janzen, MID  3352",37.745,-119.85,"Wieringa, J. J.",Wieringa JJ; Janzen MID,Ceanothus integerrimus
Luzula orestera,UWBM,8/17/2010,2010,"Bowl near Sierra Crest, Skelton Plateau, 2 air kilometer south-southwest of Spuller Lake, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.931667,-119.291667,"Zika, Peter F.",P. F. Zika,Luzula orestera
Carex tahoensis,UWBM,8/17/2010,2010,"Sierra Crest, northwest of Great Sierra Mine, northeast of Granite lakes, Yosemite National Park, central Sierra Nevada Highway.",keep,,37.928333,-119.271667,"Zika, Peter F.",P. F. Zika,Carex tahoensis
Carex tahoensis,UWBM,8/17/2010,2010,"0.5 kilometer north of western Granite Lake, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.931667,-119.28,"Zika, Peter F.",P. F. Zika,Carex tahoensis
Carex scopulorum,UWBM,8/16/2010,2010,"Dana Fork of Tuolumne River, Dana Meadows at Mammoth Peak Overlook, southeast side of Route 120, 3 miles south of Tioga Pass, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.878333,-119.273333,"Zika, Peter F.",P. F. Zika,Carex scopulorum
Carex specifica,UWBM,8/19/2010,2010,"Granitic south rim of Yosemite Valley, Pohono Trail, circa 1.3 air kilometers west of Sentinel Dome, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.721667,-119.593333,"Zika, Peter F.",P. F. Zika,Carex specifica
Carex sartwelliana,UWBM,8/19/2010,2010,"Just above Big Oak Flat Road, northwest of Turtleback Dome, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.726667,-119.716667,"Zika, Peter F.",P. F. Zika,Carex sartwelliana
Carex scopulorum,UWBM,8/16/2010,2010,"About 2 air miles northwest of Mammoth Peak, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.878333,-119.286667,"Zika, Peter F.",P. F. Zika,Carex scopulorum
Carex praeceptorium,UWBM,8/16/2010,2010,"Dana Fork of Tuolumne River, Dana Meadows at Mammoth Peak Overlook, southeast side of Route 120, 3 miles south of Tioga Pass, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.878333,-119.273333,"Zika, Peter F.",P. F. Zika,Carex praeceptorum
Carex mariposana,UWBM,8/19/2010,2010,"Above Glacier Point Road circa 3.5 road miles northeast of Chinquapin, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.67,-119.683333,"Zika, Peter F.",P. F. Zika,Carex mariposana
Carex lemmonii,UWBM,8/19/2010,2010,"Above Glacier Point Road, circa 3.3 road miles northeast of Chinquapin, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.67,-119.683333,"Zika, Peter F.",P. F. Zika,Carex lemmonii
Carex heteroneura,UWBM,8/19/2010,2010,"Above Glacier Point Road circa 3.5 road miles northeast of Chinquapin, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.67,-119.683333,"Zika, Peter F.",P. F. Zika,Carex heteroneura
Carex heteroneura,UWBM,8/19/2010,2010,"Below and visible from Glacier Point Road, 3.1 road miles northeast of Chinquapin, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.673333,-119.683333,"Zika, Peter F.",P. F. Zika,Carex heteroneura
Carex capitata,UWBM,8/17/2010,2010,"Bowl near Sierra Crest, Skelton Plateau, 2 air kilometer south-southwest of Spuller Lake, Yosemite National Park, central Sierra Nevada Highlands.",keep,,37.931667,-119.291667,"Zika, Peter F.",P. F. Zika,Carex capitata
Carex albonigra,UWBM,8/17/2010,2010,"Tarn at east end of Upper Gaylor Lake, northwest of Gaylor Peak, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.923333,-119.265,"Zika, Peter F.",P. F. Zika,Carex albonigra
Carex albonigra,UWBM,8/17/2010,2010,"Bowl near Sierra Crest, Skelton Plateau, 2 air kilometers south-southwest of Spuller Lake, Yosemite National Park, central Sierra Nevada Highlands (c SNH).",keep,,37.916667,-119.291667,"Zika, Peter F.",Peter F. Zika,Carex albonigra
Streptanthus tortuosus,CM,8/2/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Streptanthus tortuosus
Stachys mexicana,CM,8/2/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",NA
Chamaenerion angustifolium,CM,8/3/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Chamaenerion angustifolium
Lilium parvum,CM,8/4/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Lilium parvum
Cerastium arvense,CM,8/3/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Cerastium arvense
Calyptridium umbellatum,CM,8/4/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Calyptridium umbellatum
Erigeron glacialis,CM,8/3/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Erigeron glacialis
Calocedrus decurrens,CM,8/2/1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Wible, M.","Wible, M.",Calocedrus decurrens
Cornus nuttallii,AMU,4/27/1930,1930,,keep,,37.8644,-119.526,"Walter, H.",Walter H.,Cornus nuttallii
Pinus lambertiana,AMU,4/29/1930,1930,,keep,,37.9112,-119.5286,"Walter, H.",Walter H.,Pinus lambertiana
Umbellularia californica,AMU,4/27/1930,1930,,keep,,37.8648,-119.5381,"Walter, H.",Walter H.,Umbellularia californica
Pinus jeffreyi,AMU,4/28/1930,1930,,keep,,37.9112,-119.5286,"Walter, H.",Walter H.,Pinus jeffreyi
Abies magnifica,AMU,4/28/1930,1930,,keep,,37.9112,-119.5286,"Walter, H.",Walter H.,Abies magnifica
Sarcodes sanguinea,AMU,4/28/1930,1930,,keep,,37.9046,-119.5165,"Walter, H.",Walter H.,Sarcodes sanguinea
Asclepias speciosa,UConn,7/13/1966,1966,Yosemite National Park,keep,,37.85,-119.56777,"Hood, Mary V.","Hood, Mary V.",Asclepias speciosa
Torreya californica,AMU,4/29/1930,1930,,keep,,37.9112,-119.5286,"Walter, H.",Walter H.,Torreya californica
Torreya californica,AMU,4/29/1930,1930,,keep,,37.9112,-119.5286,"Walter, H.",Walter H.,Torreya californica
Juncus effusus,KU,9/3/2001,2001,"Sierra Nevada, W slope",keep,,37.733333,-119.583333,"Zika, Peter F.",Peter Zika,Juncus effusus
Abies concolor,HU,,NA,"Glacier Point, Yosemite Valley",keep,,37.7287,-119.5738,"Canby, William M.",W.M. Canby,Abies concolor
Muhlenbergia richardsonis,AK,8/21/1954,1954,,keep,,37.792556,-119.333639,"Krapovickas, A .",A Krapovickas,Muhlenbergia richardsonis
Pseudotsuga menziesii,NYBG,1869-10,1869,Yosemite Valley,keep,,37.7264,-119.6116,"Canby, William M.",W.M. Canby,Pseudotsuga menziesii
Streptanthus tortuosus,ASU,8/17/1969,1969,4.1 mi W of Lake Tenaya along Rte 120 in Yosemite Natl Park,keep,2123,37.814535,-119.507214,"Weber, Wallace A.","Weber; John C. Cooke, D. J. Pinkava, David J. Keil",Streptanthus tortuosus
Calocedrus decurrens,UCB,8/6/1933,1933,Yosemite Valley,keep,,37.72873,-119.6024,"Solheim, W. G.",W.G. Solheim,Calocedrus decurrens
Castilleja lemmonii,ID,7/7/2015,2015,"Yosemite National Park. East end of Tuolumne Meadows, across the road from the meadow pull-out and slightly west.",keep,2015-088a,37.907982,-119.258583,"Jacobs, Sarah J.","Sarah J. Jacobs, Cody Hinchliff",Castilleja lemmonii
Castilleja applegatei,ID,7/7/2015,2015,"Yosemite National Park; along Tioga Pass Road, near the bridge over the South Fork of the Tuolumne River.",keep,2015-089a,37.79609,-119.722259,"Jacobs, Sarah J.","Sarah J. Jacobs, Cody Hinchliff",Castilleja applegatei
Condea emoryi,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6421,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Euphorbia eriantha,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6424,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Pinus monticola,LD,1894-06-13,1894,Clouds Rest,keep,,37.767778,-119.489444,"Dudley, William R.",W. R. Dudley,Pinus monticola
Dryopteris arguta,NY,1869-10,1869,Yosemite Valley,keep,s.n.,37.718399,-119.682002,"Canby, William M.",W. M. Canby,Dryopteris arguta
Pinus contorta,NY,1869-10,1869,Yosemite Valley,keep,s.n.,37.728807,-119.609516,"Canby, William M.",W. M. Canby,Pinus contorta
Oligomeris linifolia,ID,3/20/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6417,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Allionia incarnata,ID,3/20/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6411,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren; Ruth E. Kern",NA
Polystichum imbricans,NY,1869-10,1869,"Vernal Fall, Yosemite Valley",keep,s.n.,37.727426,-119.543755,"Canby, William M.",W. M. Canby,Polystichum imbricans
Calocedrus decurrens,NY,1869-10,1869,Yosemite Valley,keep,s.n.,37.728807,-119.609516,"Canby, William M.",W. M. Canby,Calocedrus decurrens
Laphamia emoryi,ID,3/20/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6416,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Fagonia laevis,ID,3/20/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6409,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Pseudotsuga menziesii,NY,1869-10,1869,Yosemite Valley,keep,s.n.,37.728807,-119.609516,"Canby, William M.",W. M. Canby,Pseudotsuga menziesii
Muhlenbergia microsperma,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6436,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia Holmgren, Ruth E. Kern",NA
Ditaxis lanceolata,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6425,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Castilleja lemmonii,ID,7/7/2015,2015,"Yosemite National Park. West end of Tuolumne Meadows, off of Tioga Pass Road, approximately 20 meters from road.",keep,2015-091a,37.876079,-119.389535,"Jacobs, Sarah J.","Sarah J. Jacobs, Cody Hinchliff",Castilleja lemmonii
Phoradendron californicum,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6430,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Routh E. Kern",NA
Phacelia crenulata,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6429,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren, Ruth E. Kern",NA
Castilleja miniata,ID,7/8/2015,2015,"Yosemite National Park; Tioga Pass Road (highway 120), approximately 3 miles from Tuolumne County line, approximately 20 airmiles southwest of Lee Vining.",keep,2015-090a,37.830338,-119.467775,"Jacobs, Sarah J.","Sarah J. Jacobs, Cody Hinchliff",Castilleja miniata
Brickellia californica,NY,1869-10,1869,Yosemite Valley.,keep,s.n.,37.738808,-119.602013,"Canby, William M.",W. M. Canby,Brickellia californica
Monardella odoratissima,NY,1869-10,1869,Yosemite Valley,keep,s.n.,37.718399,-119.682002,"Canby, William M.",W. M. Canby,Monardella odoratissima
Trixis californica,ID,3/21/1973,1973,"Big Maria Mountains, 12 airline miles north of downtown Blythe.",x,6422,37.544287,-119.529862,"Holmgren, Noel H.","Noel H. Holmgren, Patricia K. Holmgren and Ruth E. Kern",NA
Corallorhiza striata,F,1889-07-13,1889,Clouds Rest,keep,,37.767825,-119.489196,"Dunham, W. H.",W. H. Dunham,Corallorhiza striata
Calyptridium umbellatum,USF,1885-05,1885,Yosemite.,keep,s.n.,37.85,-119.567,"Farlow, W. G.",W. G. Farlow,Calyptridium umbellatum
Calochortus leichtlinii,WS,7/30/1938,1938,"On the Tiltill Trail, north of Tiltill Valley, Sierra Nevada.",keep,3738,37.97472,-119.69528,"Sharsmith, Carl W.",C.W. Sharsmith,Calochortus leichtlinii
Lilium washingtonianum,NY,7/24/1909,1909,Yosemite Valley,keep,,37.718399,-119.682002,"Ferguson, M. C. (? W.C.)",W. C. Ferguson,Lilium washingtonianum
Lithophragma bolanderi,WS,7/24/1938,1938,"Along Jack Main Canyon trail, in Jack Main Canyon, north of Hetch-Hethchy Valley.",keep,3677,38.05194,-119.65889,"Sharsmith, Carl W.",C.W. Sharsmith,Lithophragma bolanderi
Lithophragma tenella,WS,7/28/1938,1938,"Macomb Ridge, East of Tilden Lake.",keep,3720,38.06944,-119.60667,"Sharsmith, Carl W.",C.W. Sharsmith,Lithophragma tenella
Allium validum,WS,8/18/1933,1933,"High Sierra Nevada. Tioga Pass, Ellery Lake. Mono.",x,5366,37.69167,-119.30833,"Wolf, Carl Brandt",Carl B. Wolf,Allium validum
Bolandra californica,WS,6/28/1936,1936,"Cathedral Rocks, Yosemite Valley, Sierra Nevada.",keep,2194,37.71472,-119.63583,"Sharsmith, Carl W.",C.W. Sharsmith,Bolandra californica
Allium obtusum,WS,7/25/1938,1938,Above Jack Main Canyon in vicinity of Mahan Peak; Sierra Nevada.,keep,3688,38.05194,-119.65889,"Sharsmith, Carl W.",C.W. Sharsmith,Allium obtusum
Sequoiadendron giganteum,K,5/24/1964,1964,Tuolumne Grove,keep,10390,37.75,-119.5,"Thomas, John H.","Thomas, J.H.",Sequoiadendron giganteum
Allium peninsulare,WS,5/20/1933,1933,West slope of Sierra Nevada. 2 miles above Bagby on grade to Bear Valley.,x,4847,37.69167,-119.30833,"Wolf, Carl Brandt",Carl B. Wolf,NA
Senecio integerrimus,WS,,NA,"Sierra Nevadas, Old Colony Mill to Marble Fork.",x,668,37.69167,-119.30833,"Jepson, Willis L.","Jepson, W.L.",Senecio integerrimus
Ranunculus alismifolius,WS,1863-06-25,1863,"Lake Terraya, Yosemite Valley.",keep,1684,37.71639,-119.66417,"Brewer, William Henry",W.H. Brewer,Ranunculus alismifolius
Geranium californicum,MA,7/24/1934,1934,"Mariposa Co., Illilouette",keep,,37.7,-119.57,"Plair, T. B.",T.B. Plair,Geranium californicum
Platanthera dilatata,PH,1893,1893,"Mercer River, below Yosemite Falls",keep,s.n.,37.743269,-119.593928,"Meehan, T.",T. Meehan,Platanthera dilatata
Allium obtusum,WS,7/25/1980,1980,"Along a ridge above Upper Merced Lake, Yosemtie National Park.",keep,2374,37.73806,-119.41472,"McNeal, Dale W.","D.W. McNeal, Steve Botti",Allium obtusum
Micranthes aprica,WS,7/28/1938,1938,"Snow Peak, east of Tilden Lake.",keep,3708,38.1,-119.60556,"Sharsmith, Carl W.",C.W. Sharsmith,Micranthes aprica
Cypripedium montanum,F,1895-08-15,1895,Wawona,keep,,37.53688,-119.656268,"Bonser, T. H. ",T. H. Bonser,Cypripedium montanum
Boykinia major,WS,2/13/1909,1909,Sierra Nevada.,keep,s.n.,37.69167,-119.30833,"Kellogg, Dr. A.",Kellogg,Boykinia major
Allium validum,WS,8/12/1933,1933,Sierra Nevada. East Blue Lake. No. end of lake.,x,5234,37.69167,-119.30833,"Wolf, Carl Brandt",Carl B. Wolf,Allium validum
Allium obtusum,WS,6/27/1975,1975,"Just north of Highway 120 at the west edge of Tuolumne meadows, Yosemite National Park.",keep,1819,37.87722,-119.37667,"McNeal, Dale W.",D.W. McNeal,Allium obtusum
Brewerimitella breweri,WS,1883-06,1883,Yosemite Valley.,keep,s.n.,37.71639,-119.66417,K. C.,K.C.,NA
Allium obtusum,WS,5/20/1980,1980,"Above the trail 0.5 above Chilnualna Falls, Yosemite National Park.",keep,2323,37.85,-119.56667,"McNeal, Dale W.",D.W. McNeal,Allium obtusum
Allium campanulatum,WS,7/24/1938,1938,"Moraine Ridge, north of Vernon Lake.",keep,3674,38.02694,-119.72639,"Sharsmith, Carl W.",C.W. Sharsmith,Allium campanulatum
Micranthes bryophora,WS,7/23/1935,1935,"Yosemite National Park, Tuolumne Meadows.",keep,1749,37.85,-119.56667,"Schreiber, Beryl O.",Beryl O. Schreiber,Micranthes bryophora
Heuchera rubescens,WS,7/25/1935,1935,"Yosemite National Park, Mount Lyell Trail.",keep,1825,37.85,-119.56667,"Schreiber, Beryl O.",Berryl O. Schreiber,Heuchera rubescens
Bolandra californica,WS,6/1/1982,1982,Yosemite National Park. Wet ledges along route 41 near scenic view pull-off just west of tunnel.,keep,1281,37.85,-119.56667,"Soltis, Douglas",Douglas Soltis,Bolandra californica
Aspidotis densa,CM,6/28/1908,1908,Yosemite valley,keep,s.n.,37.716316,-119.665168,"Smith, R. J.","Smith, R.J.",Aspidotis densa
Allium obtusum,WS,6/27/1975,1975,"Above Highway 20, 3.0 miles east of Siesta Lake, Yosemite National Park.",keep,1818,37.849987,-119.511583,"McNeal, Dale W.",D.W. McNeal,Allium obtusum
Allium hyalinum,WS,3/12/1933,1933,West Slope of the Sierra Nevada. Middle Fork of the Tule River. 0.8 miles below Power House.,x,s.n.,37.69167,-119.30833,"Wolf, Carl Brandt",Carl B. Wolf,Allium hyalinum
Bolandra californica,WS,7/24/1938,1938,"North end of Moraine Ridge, vicinity of Jack Main Canyon.",keep,3676,38.05194,-119.65889,"Sharsmith, Carl W.",C.W. Sharsmith,Bolandra californica
Calochortus leichtlinii,WS,7/30/1938,1938,"On the Tiltill Trail, north of Tiltill Valley, Sierra Nevada.",keep,3738,37.97472,-119.69528,"Sharsmith, Carl W.",C.W. Sharsmith,Calochortus leichtlinii
Allium obtusum,WS,6/27/1975,1975,"Above Highway 20, 8 miles west of Siesta Lake, Yosemite National Park.",keep,1817,37.850469,-119.8069,"McNeal, Dale W.",D.W. McNeal,Allium obtusum
Eriogonum spergulinum,WS,1866,1866,"Bank of Big Creek, below Big Tree Grove.",keep,5003,37.53944,-119.66639,"Bolander, Henry Nicholas",H.N. Bolander,Eriogonum spergulinum
Micranthes bryophora,WS,7/30/1938,1938,"Tilden Lake Trail, about five miles South of Tilden Lake, Sierra Nevada.",keep,3732,37.69167,-119.30833,"Sharsmith, Carl W.",C.W. Sharsmith,Micranthes bryophora
Phoradendron leucarpum,CM,1887-05-21,1887,Yosemite Valley,keep,s.n.,37.716316,-119.665168,"Smith, B. H.","Smith, B.H.",NA
Pellaea bridgesii,CM,1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Simonds, A. O.","Simonds, A.O.",Pellaea bridgesii
Delphinium nuttallianum,SRP,6/27/2006,2006,"Yosemite Nat. Park, Glacier point Rd.,McGurk Meadow.",keep,10921,37.676944,-119.711111,"Davidson, C.",C. Davidson,Delphinium nuttallianum
Viola pinetorum,SRP,6/27/2006,2006,Yosemite Nat. Park. Glacier Point Rd. McGurk Meadow trail.,keep,10912,37.676944,-119.711111,"Davidson, C.",C. Davidson,Viola pinetorum
Calyptridium monospermum,SRP,6/27/2006,2006,"Glacier Pt. Rd. McGurk Meadow trail, Yosemite nat Park.",keep,10918,37.676944,-119.711111,"Davidson, C.",C. Davidson,Calyptridium monospermum
Ribes cereum,SRP,6/27/2006,2006,Yosemite Nat. Park. Glacier Point Rd. McGurk Meadow trail.,keep,10917,37.676944,-119.711111,"Davidson, C.",C. Davidson,Ribes cereum
Viola adunca,SRP,6/27/2006,2006,Yosemite Nat. Park. Glacier Point Rd. McGurk Meadow trail.,keep,10919,37.676944,-119.711111,"Davidson, C.",C. Davidson,Viola adunca
Penstemon newberryi,SRP,6/27/2006,2006,Yosemite Nat. Park. Glacier Point Rd. McGurk Meadow trail.,keep,10915,37.676944,-119.711111,"Davidson, C.",C. Davidson,Penstemon newberryi
Penstemon roezlii,SRP,6/27/2006,2006,Yosemite Nat. Park. Glacier Point Rd. McGurk Meadow trail.,keep,10914,37.676944,-119.711111,"Davidson, C.",C. Davidson,Penstemon roezlii
Triteleia crocea,SRP,6/27/2006,2006,"Glacier point Rd. McGurk meadow, Yosemite nat. Park.",keep,10913,37.676944,-119.711111,"Davidson, C.",C. Davidson,NA
Lonicera conjugialis,SRP,6/27/2006,2006,Yosemite Nat. Park Clacier point Rd. McGurkl Meadow trail.,keep,10920,37.676944,-119.711111,"Davidson, C.",C. Davidson,Lonicera conjugialis
Dryopteris arguta,CM,1933,1933,Yosemite National Park,keep,s.n.,37.848325,-119.556977,"Simonds, A. O.","Simonds, A.O.",Dryopteris arguta
Penstemon davidsonii,NY,1886-05-14,1886,Yosemite Valley,keep,s.n.,37.718399,-119.682002,unknown,See Collection Notes,Penstemon davidsonii
Sedum obtusatum,NY,1894-07-16,1894,"From Lake Eleonor to Lake Vernon, along trail.",keep,s.n.,37.996712,-119.788744,"Burnham, Stewart H.",S. H. Burnham,Sedum obtusatum
Hulsea heterochroma,KU,1889-07-10,1889,Near Cloud Rest,keep,,37.767468,-119.48911,"Chesnut, Victor K.; ; Drew, Elmer R.",Victor K Chesnut; Elmer R Drew,Hulsea heterochroma
Aspidotis densa,AK,,NA,,keep,,37.716667,-119.666667,"Monks, S. P.",S P Monks,Aspidotis densa
Eriocoma latiglumis,USU,6/8/1953,1953,Yosemite National Park ; Camp 4; edge of valley floor,keep,7274,37.797222,-119.465,"Pohl, R. W.",RW Pohl,NA
Notholithocarpus densiflorus,MNHN,10/1/1954,1954,,keep,,37.71568,-119.67737,"Rose, Lewis Samuel","Rose, L.S.",Notholithocarpus densiflorus
Pellaea bridgesii,PH,6/27/1908,1908,Yosemite on the trail near Vernal Falls,keep,s.n.,37.728757,-119.546206,"Heller, Amos Arthur",A. A. Heller,Pellaea bridgesii
Quercus kelloggii,MNHN,9/23/1960,1960,,keep,,37.74804,-119.79991,"Rose, Lewis Samuel","Rose, L.S.",Quercus kelloggii
Aspidotis densa,PH,7/9/1907,1907,"Yosemite Valley, Sierra and Nevada Mountains",keep,s.n.,37.743876,-119.587849,"Ware, Robert A.",Robert A. Ware,Aspidotis densa
Adiantum aleuticum,PH,7/5/1907,1907,Yosemite Valley,keep,565,37.744466,-119.592738,"Ware, Robert A.",Robert A. Ware,Adiantum aleuticum
Selaginella watsonii,PH,7/23/1907,1907,"Mono Pass, Sierra Nevada Mountains",keep,519,37.8572,-119.217919,"Ware, Robert A.",Robert A. Ware,Selaginella watsonii
Pellaea atropurpurea,PH,8/1/1938,1938,Tiltill Valley,keep,3762,37.972122,-119.706028,"Sharsmith, Carl W.",C. W. Sharsmith,NA
Physematium scopulinum,PH,7/14/1907,1907,"Sierra Nevada Mountains, Yosemite Valley",keep,504,37.7333,-119.55,"Ware, Robert A.",Robert A. Ware,NA
Athyrium filix-femina,PH,8/1/1907,1907,"Sierra Nevada Mountains, old Tioga Road",keep,s.n.,37.844637,-119.605818,"Ware, Robert A.",Robert A. Ware,Athyrium filix-femina
Podistera nevadensis,CIC,8/21/2016,2016,Kuna Crest about half way between Kuna Crest N and Kuna Crest S. about 6.5 airmiles SE of Tuolomne Meadows.,keep,2016082101,37.832876,-119.248649,"McNeill, Rick",Rick McNeill,Podistera nevadensis
Cystopteris fragilis,NY,1897-02-20,1897,Yosemite Valley,keep,s.n.,37.718399,-119.682002,Richman,Richman,Cystopteris fragilis
