accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,notes,iNat_needsID_only_notes
Pteridium esculentum,Pteridium esculentum,accepted,Dennstaedtiaceae,1.ferns/primitive,native,30,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1995,2016,2024,"1933 voucher geolocated just outside Royal, but notes indicate inside park",
Calochlaena dubia,Calochlaena dubia,accepted,Dicksoniaceae,1.ferns/primitive,native,4,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1941,1983,2021,2023,,
Cyrtomium falcatum,Cyrtomium falcatum,accepted,Dryopteridaceae,1.ferns/primitive,introduced,1,,1,1,,1,1,,1,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,2018,2018,2023,2023,,
Lastreopsis decomposita,Lastreopsis decomposita,accepted,Dryopteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1897,1966,,,,yes_unsure
Parapolystichum acuminatum,Parapolystichum acuminatum,accepted,Dryopteridaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1951,1966,,,,none
Parapolystichum acuminatum,Lastreopsis acuminata,synonym,Dryopteridaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Parapolystichum microsorum,Parapolystichum microsorum,accepted,Dryopteridaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,XX-not in graphics,"add, needsID observation that likely correct","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1897,1977,,,,yes_correct
Parapolystichum microsorum,Lastreopsis microsora,synonym,Dryopteridaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Polystichum australiense,Polystichum australiense,accepted,Dryopteridaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1899,1983,2020,2020,,
Polystichum proliferum,Polystichum proliferum,accepted,Dryopteridaceae,1.ferns/primitive,native,1,,1,1,,1,1,1,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1927,1964,2021,2021,,
Dicranopteris linearis,Dicranopteris linearis,accepted,Gleicheniaceae,1.ferns/primitive,native,,1,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1973,1973,,,"1973 voucher geolocated just outside Royal, inside park based on notes",none
Gleichenia dicarpa,Gleichenia dicarpa,accepted,Gleicheniaceae,1.ferns/primitive,native,22,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,1982,2016,2023,,
Gleichenia microphylla,Gleichenia microphylla,accepted,Gleicheniaceae,1.ferns/primitive,native,5,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1950,1983,2020,2024,,
Gleichenia rupestris,Gleichenia rupestris,accepted,Gleicheniaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1955,2021,2023,,
Sticherus flabellatus,Sticherus flabellatus,accepted,Gleicheniaceae,1.ferns/primitive,native,21,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,1982,1988,2024,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Sticherus lobatus,Sticherus lobatus,accepted,Gleicheniaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1975,1975,,,,none
Hymenophyllum cupressiforme,Hymenophyllum cupressiforme,accepted,Hymenophyllaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1964,2021,2023,,
Hymenophyllum peltatum,Hymenophyllum peltatum,accepted,Hymenophyllaceae,1.ferns/primitive,out-of-range,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",databasing discrepancy,"remove, wrong name assigned during databasing",,,,,the only voucher from Royal is actually an incorrect duplicate of an H. cupressiforme record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error,
Lindsaea linearis,Lindsaea linearis,accepted,Lindsaeaceae,1.ferns/primitive,native,17,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1948,1955,2020,2023,,
Lindsaea microphylla,Lindsaea microphylla,accepted,Lindsaeaceae,1.ferns/primitive,native,23,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,1960,2020,2023,,
Lateristachys lateralis,Lateristachys lateralis,accepted,Lycopodiaceae,1.ferns/primitive,native,1,,,1,1,,1,,,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Lateristachys lateralis,Lycopodiella lateralis,synonym,Lycopodiaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Lycopodium deuterodensum,Lycopodium deuterodensum,accepted,Lycopodiaceae,1.ferns/primitive,native,8,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,1993,2019,2023,,
Palhinhaea cernua,Palhinhaea cernua,accepted,Lycopodiaceae,1.ferns/primitive,native,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1953,1953,,,,none
Palhinhaea cernua,Lycopodiella cernua,synonym,Lycopodiaceae,1.ferns/primitive,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Nephrolepis cordifolia,Nephrolepis cordifolia,accepted,Nephrolepidaceae,1.ferns/primitive,introduced,3,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Botrychium australe,Botrychium australe,accepted,Ophioglossaceae,1.ferns/primitive,native,1,1,,1,1,,1,,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Ophioglossum lusitanicum,Ophioglossum lusitanicum,accepted,Ophioglossaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1976,1976,,,,none
Todea barbara,Todea barbara,accepted,Osmundaceae,1.ferns/primitive,native,4,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1897,1953,2008,2023,,
Dictymia brownii,Dictymia brownii,accepted,Polypodiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1905,1905,,,,none
Microsorum pustulatum,Microsorum pustulatum,accepted,Polypodiaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1942,1942,,,,none
Microsorum scandens,Microsorum scandens,accepted,Polypodiaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1890,2019,2020,2020,,
Microsorum scandens,Dendroconche scandens,synonym,Polypodiaceae,1.ferns/primitive,native,,,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,
Notogrammitis billardierei,Notogrammitis billardierei,accepted,Polypodiaceae,1.ferns/primitive,native,,,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,1933,1953,,,,none
Notogrammitis billardierei,Grammitis billardieri,synonym,Polypodiaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Platycerium bifurcatum,Platycerium bifurcatum,accepted,Polypodiaceae,1.ferns/primitive,native,15,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2018,2024,,
Platycerium superbum,Platycerium superbum,accepted,Polypodiaceae,1.ferns/primitive,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,native weed likely naturalising from cultivated specimens outside the park,
Pyrrosia rupestris,Pyrrosia rupestris,accepted,Polypodiaceae,1.ferns/primitive,native,17,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,1952,1989,2024,,
Psilotum nudum,Psilotum nudum,accepted,Psilotaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1946,1981,2024,2024,,
Tmesipteris truncata,Tmesipteris truncata,accepted,Psilotaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Adiantum aethiopicum,Adiantum aethiopicum,accepted,Pteridaceae,1.ferns/primitive,native,6,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1933,2019,2018,2024,"1933 voucher geolocated just outside Royal, but notes indicate inside park",
Adiantum formosum,Adiantum formosum,accepted,Pteridaceae,1.ferns/primitive,native,22,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2019,1989,2024,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Adiantum hispidulum,Adiantum hispidulum,accepted,Pteridaceae,1.ferns/primitive,native,2,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,1970,2020,2023,,
Adiantum raddianum,Adiantum raddianum,accepted,Pteridaceae,1.ferns/primitive,introduced,,,,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2000,2000,,,"voucher geolocated into the ocean, but notes indicate in Royal. Interestingly the locality notes say 'Bulgo, below Stoney Batter Hill, S of Royal National Park', but Bulgo is actually inside the official Royal boundaries (right at the tip), not south of it",none
Adiantum silvaticum,Adiantum silvaticum,accepted,Pteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1895,1904,,,,none
Cheilanthes distans,Cheilanthes distans,accepted,Pteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1929,1951,,,,none
Cheilanthes sieberi,Cheilanthes sieberi,accepted,Pteridaceae,1.ferns/primitive,native,2,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Pellaea falcata,Pellaea falcata,accepted,Pteridaceae,1.ferns/primitive,native,16,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1905,2001,2012,2024,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",
Pteris tremula,Pteris tremula,accepted,Pteridaceae,1.ferns/primitive,native,1,1,1,1,1,1,1,1,1,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1943,2001,2023,2023,,
Pteris umbrosa,Pteris umbrosa,accepted,Pteridaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1897,1915,,,,none
Pteris vittata,Pteris vittata,accepted,Pteridaceae,1.ferns/primitive,native,1,,1,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,2023,2023,"the single voucher, from 2000, has been geolocated into Royal, but this is clearly wrong; the verbatim locality for the voucher is ""Heathcote on western side of Princes Hwy"", but Royal is on the eastern side",
Schizaea bifida,Schizaea bifida,accepted,Schizaeaceae,1.ferns/primitive,native,7,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1887,1986,2021,2024,,
Schizaea dichotoma,Schizaea dichotoma,accepted,Schizaeaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1973,1973,,,the 1983 voucher from Royal is actually an incorrect duplicate of an S. bifida record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error,none
Schizaea rupestris,Schizaea rupestris,accepted,Schizaeaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1895,1986,,,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",none
Selaginella kraussiana,Selaginella kraussiana,accepted,Selaginellaceae,1.ferns/primitive,introduced,1,,,1,,,1,,,,1,"retain, restricted license","retain, but restricted license",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2018,2018,,
Selaginella uliginosa,Selaginella uliginosa,accepted,Selaginellaceae,1.ferns/primitive,native,19,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1921,1993,2019,2023,,
Arthropteris beckleri,Arthropteris beckleri,accepted,Tectariaceae,1.ferns/primitive,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,one voucher just outside park,none
Arthropteris tenella,Arthropteris tenella,accepted,Tectariaceae,1.ferns/primitive,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1933,1964,,,,none
Cyclosorus interruptus,Cyclosorus interruptus,accepted,Thelypteridaceae,1.ferns/primitive,native,,,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Cyclosorus interruptus,Thelypteris interrupta,synonym,Thelypteridaceae,1.ferns/primitive,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Macrozamia communis,Macrozamia communis,accepted,Zamiaceae,1.ferns/primitive,native,3,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2003,2003,1988,2021,,
Macrozamia spiralis,Macrozamia spiralis,accepted,Zamiaceae,1.ferns/primitive,native,5,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,2003,2012,2020,2023,,
Araucaria cunninghamii,Araucaria cunninghamii,accepted,Araucariaceae,2.gymnosperm,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2022,2022,"native weed, naturalised in the park from plantings",
Callitris muelleri,Callitris muelleri,accepted,Cupressaceae,2.gymnosperm,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1905,1986,,,,none
Callitris rhomboidea,Callitris rhomboidea,accepted,Cupressaceae,2.gymnosperm,native,1,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,2002,2023,2023,,
Pinus nigra,Pinus nigra,accepted,Pinaceae,2.gymnosperm,introduced,,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",databasing discrepancy,"remove, horticultural record",,,,,voucher annotated as cultivated,
