family,day,month,year,species
Fabaceae,1,8,1921,Acacia ulicifolia
Fabaceae,24,8,1932,Acacia ulicifolia
Fabaceae,,5,1943,Acacia ulicifolia
Fabaceae,12,8,1960,Acacia ulicifolia
Fabaceae,21,8,1960,Acacia ulicifolia
Fabaceae,13,6,1982,Acacia ulicifolia
Fabaceae,21,3,1984,Acacia ulicifolia
Fabaceae,28,3,1984,Acacia ulicifolia
Fabaceae,9,3,2005,Acacia ulicifolia
Fabaceae,28,7,2008,Acacia ulicifolia
Asteraceae,31,3,1971,Acanthospermum australe
Asteraceae,25,1,1987,Acanthospermum australe
Orchidaceae,15,9,1888,Acianthus caudatus
Orchidaceae,15,9,1888,Acianthus caudatus
Orchidaceae,20,6,1946,Acianthus caudatus
Orchidaceae,22,6,1947,Acianthus caudatus
Orchidaceae,13,7,1947,Acianthus caudatus
Orchidaceae,10,8,1947,Acianthus caudatus
Orchidaceae,7,9,1947,Acianthus caudatus
Orchidaceae,20,6,1948,Acianthus caudatus
Orchidaceae,3,7,1955,Acianthus caudatus
Orchidaceae,3,7,1955,Acianthus caudatus
Orchidaceae,3,7,1955,Acianthus caudatus
Orchidaceae,30,6,1971,Acianthus caudatus
Orchidaceae,4,7,1976,Acianthus caudatus
Orchidaceae,1,7,1995,Acianthus caudatus
Orchidaceae,23,7,1933,Acianthus exsertus
Orchidaceae,19,4,1946,Acianthus exsertus
Orchidaceae,23,3,1947,Acianthus exsertus
Orchidaceae,21,3,1948,Acianthus exsertus
Orchidaceae,3,4,1949,Acianthus exsertus
Orchidaceae,15,5,1949,Acianthus exsertus
Orchidaceae,1,3,1971,Acianthus exsertus
Orchidaceae,1,3,1971,Acianthus exsertus
Orchidaceae,8,5,1899,Acianthus fornicatus
Orchidaceae,2,6,1928,Acianthus fornicatus
Orchidaceae,15,5,1949,Acianthus fornicatus
Orchidaceae,25,5,1953,Acianthus fornicatus
Orchidaceae,30,6,1971,Acianthus fornicatus
Orchidaceae,13,6,1976,Acianthus fornicatus
Orchidaceae,4,7,1976,Acianthus fornicatus
Orchidaceae,24,7,1991,Acianthus fornicatus
Orchidaceae,11,6,1992,Acianthus fornicatus
Orchidaceae,11,6,1992,Acianthus fornicatus
Orchidaceae,4,6,1995,Acianthus fornicatus
Orchidaceae,24,6,1995,Acianthus fornicatus
Orchidaceae,1,7,1995,Acianthus fornicatus
Orchidaceae,1,7,2011,Acianthus fornicatus
Rutaceae,5,12,1930,Acronychia oblongifolia
Rutaceae,,,1947,Acronychia oblongifolia
Rutaceae,,3,1957,Acronychia oblongifolia
Rutaceae,4,7,1969,Acronychia oblongifolia
Rutaceae,16,7,1982,Acronychia oblongifolia
Ericaceae,7,8,1961,Acrotriche divaricata
Ericaceae,26,7,1977,Acrotriche divaricata
Ericaceae,26,7,1977,Acrotriche divaricata
Apiaceae,11,6,1933,Actinotus helianthi
Apiaceae,19,9,1942,Actinotus helianthi
Apiaceae,28,10,1950,Actinotus helianthi
Apiaceae,23,12,1950,Actinotus helianthi
Apiaceae,21,3,1972,Actinotus helianthi
Apiaceae,8,6,1982,Actinotus helianthi
Apiaceae,1,4,1983,Actinotus helianthi
Apiaceae,15,11,1989,Actinotus helianthi
Apiaceae,15,11,1989,Actinotus helianthi
Apiaceae,20,10,1992,Actinotus helianthi
Apiaceae,17,10,1996,Actinotus helianthi
Apiaceae,9,10,2012,Actinotus helianthi
Apiaceae,26,2,1887,Actinotus minor
Apiaceae,26,2,1887,Actinotus minor
Apiaceae,26,7,1933,Actinotus minor
Apiaceae,24,11,1953,Actinotus minor
Apiaceae,16,10,1960,Actinotus minor
Apiaceae,9,10,1961,Actinotus minor
Apiaceae,4,5,1969,Actinotus minor
Apiaceae,2,11,1972,Actinotus minor
Apiaceae,16,3,1980,Actinotus minor
Apiaceae,5,9,1991,Actinotus minor
Apiaceae,20,10,1992,Actinotus minor
Apiaceae,9,3,2005,Actinotus minor
Apiaceae,9,10,2012,Actinotus minor
Pteridaceae,22,7,1933,Adiantum aethiopicum
Pteridaceae,12,8,2018,Adiantum aethiopicum
Pteridaceae,8,5,2019,Adiantum aethiopicum
Pteridaceae,25,5,1896,Adiantum formosum
Pteridaceae,,11,1897,Adiantum formosum
Pteridaceae,,6,1905,Adiantum formosum
Pteridaceae,28,4,1921,Adiantum formosum
Pteridaceae,22,7,1933,Adiantum formosum
Pteridaceae,23,11,1936,Adiantum formosum
Pteridaceae,,3,1945,Adiantum formosum
Pteridaceae,2,5,1945,Adiantum formosum
Pteridaceae,27,10,1946,Adiantum formosum
Pteridaceae,27,10,1946,Adiantum formosum
Pteridaceae,27,10,1946,Adiantum formosum
Pteridaceae,26,6,1951,Adiantum formosum
Pteridaceae,20,10,1952,Adiantum formosum
Pteridaceae,,11,1958,Adiantum formosum
Pteridaceae,4,7,1964,Adiantum formosum
Pteridaceae,8,5,2019,Adiantum formosum
Pteridaceae,,6,1905,Adiantum hispidulum
Pteridaceae,,4,1907,Adiantum hispidulum
Pteridaceae,,8,1919,Adiantum hispidulum
Pteridaceae,30,6,1923,Adiantum hispidulum
Pteridaceae,,5,1927,Adiantum hispidulum
Pteridaceae,,7,1933,Adiantum hispidulum
Pteridaceae,26,6,1951,Adiantum hispidulum
Pteridaceae,22,9,1955,Adiantum hispidulum
Pteridaceae,27,6,1958,Adiantum hispidulum
Pteridaceae,28,8,1970,Adiantum hispidulum
Pteridaceae,29,1,2000,Adiantum raddianum
Pteridaceae,,6,1895,Adiantum silvaticum
Pteridaceae,,7,1904,Adiantum silvaticum
Primulaceae,7,8,1933,Aegiceras corniculatum
Primulaceae,24,8,1946,Aegiceras corniculatum
Asteraceae,18,10,1994,Ageratina adenophora
Asteraceae,14,10,2012,Ageratina adenophora
Asteraceae,31,8,1948,Ageratina riparia
Asteraceae,24,8,1952,Ageratina riparia
Asteraceae,22,9,1955,Ageratina riparia
Asteraceae,16,9,1958,Ageratina riparia
Asteraceae,19,10,1982,Ageratina riparia
Asteraceae,19,10,1982,Ageratina riparia
Asteraceae,24,9,2017,Ageratina riparia
Lamiaceae,,10,1897,Ajuga australis
Sapindaceae,,11,1956,Alectryon subcinereus
Casuarinaceae,24,3,1928,Allocasuarina distyla
Casuarinaceae,14,7,1946,Allocasuarina distyla
Casuarinaceae,17,10,1948,Allocasuarina distyla
Casuarinaceae,17,10,1948,Allocasuarina distyla
Casuarinaceae,31,3,1971,Allocasuarina distyla
Casuarinaceae,26,9,1974,Allocasuarina distyla
Casuarinaceae,26,9,1974,Allocasuarina distyla
Casuarinaceae,8,7,1976,Allocasuarina distyla
Casuarinaceae,15,11,1978,Allocasuarina distyla
Casuarinaceae,15,11,1978,Allocasuarina distyla
Casuarinaceae,15,11,1978,Allocasuarina distyla
Casuarinaceae,2,6,1981,Allocasuarina distyla
Casuarinaceae,2,6,1981,Allocasuarina distyla
Casuarinaceae,7,9,1982,Allocasuarina distyla
Casuarinaceae,19,10,1982,Allocasuarina distyla
Casuarinaceae,19,8,1989,Allocasuarina distyla
Casuarinaceae,19,8,1989,Allocasuarina distyla
Casuarinaceae,19,8,1989,Allocasuarina distyla
Casuarinaceae,19,8,1989,Allocasuarina distyla
Casuarinaceae,19,8,1989,Allocasuarina distyla
Casuarinaceae,14,11,2001,Allocasuarina distyla
Casuarinaceae,31,10,2004,Allocasuarina distyla
Casuarinaceae,27,11,2004,Allocasuarina distyla
Casuarinaceae,13,10,2005,Allocasuarina distyla
Casuarinaceae,21,1,2015,Allocasuarina distyla
Casuarinaceae,,4,1896,Allocasuarina littoralis
Casuarinaceae,7,6,1905,Allocasuarina littoralis
Casuarinaceae,,6,1905,Allocasuarina littoralis
Casuarinaceae,18,3,1961,Allocasuarina littoralis
Casuarinaceae,29,3,1971,Allocasuarina littoralis
Casuarinaceae,26,9,1974,Allocasuarina littoralis
Casuarinaceae,21,1,2015,Allocasuarina littoralis
Casuarinaceae,21,1,2015,Allocasuarina littoralis
Casuarinaceae,21,10,1975,Allocasuarina nana
Casuarinaceae,21,10,1975,Allocasuarina nana
Casuarinaceae,15,11,1978,Allocasuarina nana
Casuarinaceae,15,11,1978,Allocasuarina nana
Casuarinaceae,15,11,1978,Allocasuarina nana
Casuarinaceae,2,6,1981,Allocasuarina nana
Casuarinaceae,,,2011,Allocasuarina nana
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,15,11,1978,Allocasuarina torulosa
Casuarinaceae,2,6,1981,Allocasuarina torulosa
Casuarinaceae,1,7,1905,Allocasuarina verticillata
Casuarinaceae,,7,1953,Allocasuarina verticillata
Casuarinaceae,10,6,1973,Allocasuarina verticillata
Casuarinaceae,2,12,1975,Allocasuarina verticillata
Casuarinaceae,15,11,1978,Allocasuarina verticillata
Casuarinaceae,15,11,1978,Allocasuarina verticillata
Casuarinaceae,15,11,1978,Allocasuarina verticillata
Casuarinaceae,15,11,1978,Allocasuarina verticillata
Casuarinaceae,28,3,1986,Allocasuarina verticillata
Casuarinaceae,10,5,2005,Allocasuarina verticillata
Fabaceae,15,9,1981,Almaleea paludosa
Rhamnaceae,22,7,1888,Alphitonia excelsa
Rhamnaceae,6,1,1891,Alphitonia excelsa
Rhamnaceae,28,6,1902,Alphitonia excelsa
Rhamnaceae,5,3,1910,Alphitonia excelsa
Rhamnaceae,,1,1958,Alphitonia excelsa
Rhamnaceae,10,2,2021,Alphitonia excelsa
Amaranthaceae,4,5,1975,Alternanthera denticulata
Euphorbiaceae,5,4,1890,Amperea xiphoclada
Euphorbiaceae,6,10,1971,Amperea xiphoclada
Euphorbiaceae,6,10,1971,Amperea xiphoclada
Euphorbiaceae,6,10,1971,Amperea xiphoclada
Poaceae,1,6,1973,Amphipogon strictus
Poaceae,24,11,1994,Amphipogon strictus
Poaceae,24,11,1994,Amphipogon strictus
Poaceae,5,3,1996,Amphipogon strictus
Loranthaceae,1,8,1904,Amyema congener
Loranthaceae,,9,1888,Amyema pendula
Loranthaceae,29,3,1978,Amylotheca dictyophleba
Commelinaceae,19,2,1977,Aneilema biflorum
Myrtaceae,,12,1885,Angophora costata
Myrtaceae,17,10,1896,Angophora costata
Myrtaceae,,,1913,Angophora costata
Myrtaceae,22,10,1927,Angophora costata
Myrtaceae,1,1,1931,Angophora costata
Myrtaceae,10,8,1954,Angophora costata
Myrtaceae,3,11,1976,Angophora costata
Myrtaceae,13,5,1905,Angophora hispida
Myrtaceae,,8,1914,Angophora hispida
Myrtaceae,1,1,1921,Angophora hispida
Myrtaceae,,,1929,Angophora hispida
Myrtaceae,,11,1936,Angophora hispida
Myrtaceae,,11,1936,Angophora hispida
Myrtaceae,19,12,1936,Angophora hispida
Myrtaceae,26,4,1938,Angophora hispida
Myrtaceae,27,12,1944,Angophora hispida
Myrtaceae,,5,1952,Angophora hispida
Myrtaceae,2,5,1954,Angophora hispida
Myrtaceae,17,1,1962,Angophora hispida
Myrtaceae,23,5,1963,Angophora hispida
Myrtaceae,,2,1971,Angophora hispida
Myrtaceae,1,12,1973,Angophora hispida
Myrtaceae,3,11,1976,Angophora hispida
Myrtaceae,3,11,1976,Angophora hispida
Myrtaceae,,11,1982,Angophora hispida
Myrtaceae,1,8,1984,Angophora hispida
Myrtaceae,23,1,1985,Angophora hispida
Myrtaceae,19,4,1986,Angophora hispida
Myrtaceae,15,1,1987,Angophora hispida
Myrtaceae,15,11,1989,Angophora hispida
Myrtaceae,2,11,1991,Angophora hispida
Myrtaceae,29,8,1998,Angophora hispida
Myrtaceae,13,11,2005,Angophora hispida
Myrtaceae,9,10,2012,Angophora hispida
Myrtaceae,5,12,2013,Angophora hispida
Poaceae,31,10,1973,Anisopogon avenaceus
Poaceae,1,4,1983,Anisopogon avenaceus
Poaceae,11,6,1994,Anisopogon avenaceus
Poaceae,11,6,1994,Anisopogon avenaceus
Poaceae,24,11,1994,Anisopogon avenaceus
Basellaceae,6,4,1975,Anredera cordifolia
Basellaceae,6,4,1975,Anredera cordifolia
Cyperaceae,7,7,1973,Anthelepis paludosa
Cyperaceae,18,3,1975,Anthelepis paludosa
Cyperaceae,18,3,1975,Anthelepis paludosa
Cyperaceae,18,3,1975,Anthelepis paludosa
Cyperaceae,30,4,1975,Anthelepis paludosa
Cyperaceae,29,7,2007,Anthelepis paludosa
Cyperaceae,12,11,2008,Anthelepis paludosa
Cyperaceae,28,11,2012,Anthelepis paludosa
Cyperaceae,28,11,2012,Anthelepis paludosa
Cyperaceae,28,11,2012,Anthelepis paludosa
Fabaceae,1,12,1887,Aotus ericoides
Fabaceae,15,9,1888,Aotus ericoides
Fabaceae,,9,1888,Aotus ericoides
Fabaceae,1,10,1905,Aotus ericoides
Fabaceae,,9,1921,Aotus ericoides
Fabaceae,18,9,1953,Aotus ericoides
Fabaceae,12,9,1965,Aotus ericoides
Fabaceae,4,11,1971,Aotus ericoides
Fabaceae,15,9,1981,Aotus ericoides
Fabaceae,9,10,1984,Aotus ericoides
Aphanopetalaceae,17,10,1888,Aphanopetalum resinosum
Aphanopetalaceae,,9,1893,Aphanopetalum resinosum
Aphanopetalaceae,,10,1897,Aphanopetalum resinosum
Aphanopetalaceae,5,9,1936,Aphanopetalum resinosum
Aphanopetalaceae,,7,1969,Aphanopetalum resinosum
Aphanopetalaceae,21,4,1977,Aphanopetalum resinosum
Aphanopetalaceae,15,9,1981,Aphanopetalum resinosum
Apiaceae,23,11,1936,Apium prostratum
Apiaceae,8,1,1947,Apium prostratum
Vitaceae,4,8,1924,Apocissus antarctica
Vitaceae,4,7,1969,Apocissus antarctica
Vitaceae,2,2,1949,Apocissus hypoglauca
Vitaceae,16,5,1964,Apocissus hypoglauca
Vitaceae,30,5,1976,Apocissus hypoglauca
Vitaceae,20,6,1993,Apocissus hypoglauca
Asteraceae,10,4,1971,Arctotheca populifolia
Poaceae,13,2,1974,Aristida vagans
Poaceae,24,11,1994,Aristida vagans
Asteraceae,1,4,1983,Arrhenechthites mixtus
Tectariaceae,,7,1933,Arthropteris tenella
Tectariaceae,,7,1933,Arthropteris tenella
Tectariaceae,23,11,1936,Arthropteris tenella
Tectariaceae,27,10,1946,Arthropteris tenella
Tectariaceae,26,6,1949,Arthropteris tenella
Tectariaceae,11,8,1964,Arthropteris tenella
Asparagaceae,1,4,1983,Asparagus aethiopicus
Asparagaceae,24,9,1972,Asparagus setaceus
Asparagaceae,1,4,1983,Asparagus setaceus
Aspleniaceae,1,8,1934,Asplenium australasicum
Aspleniaceae,,6,1905,Asplenium flabellifolium
Aspleniaceae,23,7,1933,Asplenium flabellifolium
Aspleniaceae,2,5,1942,Asplenium flabellifolium
Aspleniaceae,27,10,1946,Asplenium flabellifolium
Aspleniaceae,26,6,1949,Asplenium flabellifolium
Aspleniaceae,4,7,1964,Asplenium flabellifolium
Aspleniaceae,13,9,1964,Asplenium flabellifolium
Aspleniaceae,28,8,1970,Asplenium flabellifolium
Aspleniaceae,30,9,1986,Asplenium flabellifolium
Aspleniaceae,20,8,2001,Asplenium flabellifolium
Aspleniaceae,16,5,2019,Asplenium flabellifolium
Aspleniaceae,,7,1927,Asplenium polyodon
Araliaceae,9,9,1950,Astrotricha crassifolia
Myrtaceae,,,1940,Austromyrtus tenuifolia
Myrtaceae,23,1,1946,Austromyrtus tenuifolia
Myrtaceae,9,8,1986,Austromyrtus tenuifolia
Poaceae,11,6,1994,Austrostipa mollis
Poaceae,,11,1889,Austrostipa pubescens
Poaceae,24,11,1994,Austrostipa rudis
Poaceae,26,1,1958,Axonopus fissifolius
Myrtaceae,16,11,1960,Backhousia leptopetala
Myrtaceae,27,10,1946,Backhousia myrtifolia
Myrtaceae,2,2,1949,Backhousia myrtifolia
Myrtaceae,3,1,1969,Backhousia myrtifolia
Myrtaceae,1,12,1973,Backhousia myrtifolia
Plantaginaceae,,4,1916,Bacopa monnieri
Plantaginaceae,13,4,1975,Bacopa monnieri
Myrtaceae,1,1,1921,Baeckea diosmifolia
Myrtaceae,6,12,1987,Baeckea diosmifolia
Myrtaceae,6,12,1987,Baeckea diosmifolia
Myrtaceae,27,2,1889,Baeckea imbricata
Myrtaceae,8,4,1905,Baeckea imbricata
Myrtaceae,1,4,1917,Baeckea imbricata
Myrtaceae,1,1,1921,Baeckea imbricata
Myrtaceae,24,3,1928,Baeckea imbricata
Myrtaceae,,5,1956,Baeckea imbricata
Myrtaceae,18,3,1961,Baeckea imbricata
Myrtaceae,25,3,1984,Baeckea imbricata
Myrtaceae,22,9,1986,Baeckea imbricata
Myrtaceae,6,12,1987,Baeckea imbricata
Myrtaceae,6,12,1987,Baeckea imbricata
Myrtaceae,11,10,2012,Baeckea imbricata
Myrtaceae,14,3,2016,Baeckea imbricata
Myrtaceae,,5,1896,Baeckea linifolia
Myrtaceae,,,1896,Baeckea linifolia
Myrtaceae,,3,1963,Baeckea linifolia
Myrtaceae,16,1,1975,Baeckea linifolia
Restionaceae,8,11,1950,Baloskion gracile
Restionaceae,13,4,1960,Baloskion gracile
Restionaceae,12,1,1967,Baloskion gracile
Restionaceae,11,4,1973,Baloskion gracile
Restionaceae,22,4,1975,Baloskion gracile
Restionaceae,4,5,1975,Baloskion gracile
Restionaceae,20,10,1983,Baloskion gracile
Restionaceae,18,1,1989,Baloskion gracile
Restionaceae,24,1,1992,Baloskion gracile
Restionaceae,6,4,1975,Baloskion tetraphyllum
Restionaceae,6,4,1975,Baloskion tetraphyllum
Restionaceae,19,8,1989,Baloskion tetraphyllum
Proteaceae,,4,1899,Banksia ericifolia
Proteaceae,8,4,1905,Banksia ericifolia
Proteaceae,7,5,1960,Banksia ericifolia
Proteaceae,,8,1962,Banksia ericifolia
Proteaceae,4,5,1969,Banksia ericifolia
Proteaceae,8,4,1970,Banksia ericifolia
Proteaceae,8,4,1970,Banksia ericifolia
Proteaceae,20,9,1981,Banksia ericifolia
Proteaceae,13,6,1982,Banksia ericifolia
Proteaceae,27,8,1986,Banksia ericifolia
Proteaceae,14,5,1988,Banksia ericifolia
Proteaceae,6,7,2000,Banksia ericifolia
Proteaceae,28,7,2008,Banksia ericifolia
Proteaceae,10,6,2010,Banksia ericifolia
Proteaceae,26,3,2012,Banksia ericifolia
Proteaceae,21,1,2015,Banksia ericifolia
Proteaceae,21,1,2015,Banksia ericifolia
Proteaceae,17,8,2016,Banksia ericifolia
Proteaceae,18,8,1987,Banksia integrifolia
Proteaceae,21,1,2015,Banksia integrifolia
Proteaceae,,4,1927,Banksia marginata
Proteaceae,24,8,1932,Banksia marginata
Proteaceae,7,5,1960,Banksia marginata
Proteaceae,9,4,1968,Banksia marginata
Proteaceae,4,5,1969,Banksia marginata
Proteaceae,8,4,1970,Banksia marginata
Proteaceae,,1,1975,Banksia marginata
Proteaceae,10,5,1975,Banksia marginata
Proteaceae,10,5,1975,Banksia marginata
Proteaceae,21,2,1978,Banksia marginata
Proteaceae,21,2,1978,Banksia marginata
Proteaceae,20,9,1981,Banksia marginata
Proteaceae,16,3,1992,Banksia marginata
Proteaceae,10,6,2010,Banksia marginata
Proteaceae,26,3,2012,Banksia marginata
Proteaceae,22,7,1933,Banksia oblongifolia
Proteaceae,8,4,1970,Banksia oblongifolia
Proteaceae,8,4,1970,Banksia oblongifolia
Proteaceae,8,4,1970,Banksia oblongifolia
Proteaceae,1,10,1971,Banksia oblongifolia
Proteaceae,16,3,1992,Banksia oblongifolia
Proteaceae,6,7,2000,Banksia oblongifolia
Proteaceae,29,3,1977,Banksia paludosa
Proteaceae,,3,1900,Banksia robur
Proteaceae,14,5,1962,Banksia robur
Proteaceae,19,11,1955,Banksia serrata
Proteaceae,5,10,1961,Banksia serrata
Proteaceae,8,4,1970,Banksia serrata
Proteaceae,13,6,1982,Banksia serrata
Proteaceae,16,3,1992,Banksia serrata
Proteaceae,26,3,2012,Banksia serrata
Proteaceae,21,1,2015,Banksia serrata
Proteaceae,21,1,2015,Banksia serrata
Proteaceae,1,3,1898,Banksia spinulosa
Proteaceae,8,4,1905,Banksia spinulosa
Proteaceae,19,7,1913,Banksia spinulosa
Proteaceae,26,8,1948,Banksia spinulosa
Proteaceae,26,8,1948,Banksia spinulosa
Proteaceae,29,9,1951,Banksia spinulosa
Proteaceae,21,8,1960,Banksia spinulosa
Proteaceae,3,7,1979,Banksia spinulosa
Proteaceae,3,7,1979,Banksia spinulosa
Proteaceae,13,6,1982,Banksia spinulosa
Proteaceae,26,3,2012,Banksia spinulosa
Cunoniaceae,22,9,1888,Bauera microphylla
Cunoniaceae,17,10,1896,Bauera microphylla
Cunoniaceae,17,10,1896,Bauera microphylla
Cunoniaceae,,8,1919,Bauera microphylla
Cunoniaceae,16,8,1927,Bauera microphylla
Cunoniaceae,15,9,1981,Bauera microphylla
Cunoniaceae,23,9,1990,Bauera microphylla
Cunoniaceae,17,10,1896,Bauera rubioides
Cunoniaceae,,10,1898,Bauera rubioides
